Entity,Code,Year,"Total population (Gapminder, HYDE & UN)",Continent,Life_expect_ male,Life_expect_female
Montserrat,MSR,2019,5000,,,
More Developed Regions,,2019,,,76.395,82.456
Morocco,MAR,2019,36472000,,75.423,77.895
Mozambique,MOZ,2019,30366000,,57.782,63.671
Myanmar,MMR,2019,54045000,,64.046,70.119
Namibia,NAM,2019,2495000,,60.685,66.516
Nauru,NRU,2019,11000,,,
Nepal,NPL,2019,28609000,,69.259,72.208
Netherlands,NLD,2019,17097000,,80.592,83.952
New Caledonia,NCL,2019,283000,,74.95,80.388
New Zealand,NZL,2019,4783000,,80.571,83.981
Nicaragua,NIC,2019,6546000,,70.944,77.982
Niger,NER,2019,23311000,,61.281,63.621
Nigeria,NGA,2019,200964000,,53.789,55.619
Niue,NIU,2019,2000,,,
No income group available,,2019,,,76.376,82.815
North America,,2019,366600992,,,
North Korea,PRK,2019,25666000,,68.615,75.744
Northern Africa,,2019,,,70.698,74.485
Northern Africa and Western Asia,,2019,,,71.649,76.013
Northern America,,2019,,,76.755,81.71
Northern Europe,,2019,,,79.215,83.207
Northern Mariana Islands,MNP,2019,57000,,,
Norway,NOR,2019,5379000,,80.447,84.377
Oceania,,2019,42128000,,76.75,80.709
Oceania (excluding Australia and New Zealand),,2019,,,65.144,68.17
Oman,OMN,2019,4975000,,76.127,80.343
Pakistan,PAK,2019,216564992,,66.337,68.287
Palau,PLW,2019,18000,,,
Palestine,PSE,2019,4981000,,72.416,75.755
Panama,PAN,2019,4246000,,75.421,81.756
Papua New Guinea,PNG,2019,8776000,,63.271,65.82
Paraguay,PRY,2019,7045000,,72.263,76.396
Peru,PER,2019,32510000,,74.06,79.507
Philippines,PHL,2019,108117000,,67.263,75.505
Poland,POL,2019,37888000,,74.814,82.587
Portugal,PRT,2019,10226000,,79.032,84.853
Puerto Rico,PRI,2019,2933000,,76.529,83.498
Qatar,QAT,2019,2832000,,79.142,82.01
Reunion,REU,2019,889000,,77.691,83.972
Romania,ROU,2019,19365000,,72.609,79.525
Russia,RUS,2019,145872000,,67.148,77.785
Rwanda,RWA,2019,12627000,,66.821,71.132
Saint Barthlemy,,2019,10000,,,
Saint Helena,SHN,2019,6000,,,
Saint Kitts and Nevis,KNA,2019,53000,,,
Saint Lucia,LCA,2019,183000,,74.851,77.58
Saint Martin (French part),MAF,2019,38000,,,
Saint Pierre and Miquelon,SPM,2019,6000,,,
Saint Vincent and the Grenadines,VCT,2019,111000,,70.289,75.131
Samoa,WSM,2019,197000,,71.324,75.464
San Marino,SMR,2019,34000,,,
Sao Tome and Principe,STP,2019,215000,,67.98,72.814
Saudi Arabia,SAU,2019,34269000,,73.935,76.759
Senegal,SEN,2019,16296000,,65.757,69.918
Serbia,SRB,2019,8772000,,73.407,78.617
Seychelles,SYC,2019,98000,,69.901,77.382
Sierra Leone,SLE,2019,7813000,,53.853,55.495
Singapore,SGP,2019,5804000,,81.526,85.728
Sint Maarten (Dutch part),SXM,2019,42000,,,
Slovakia,SVK,2019,5457000,,74.02,80.96
Slovenia,SVN,2019,2079000,,78.575,84.04
Small Island Developing States (SIDS),,2019,,,70.132,74.76
Solomon Islands,SLB,2019,670000,,71.3,74.866
Somalia,SOM,2019,15443000,,55.725,59.132
South Africa,ZAF,2019,58558000,,60.726,67.679
South America,,2019,,,72.547,79.297
South Eastern Asia,,2019,,,69.768,75.794
South Korea,KOR,2019,51225000,,79.935,85.954
South Sudan,SSD,2019,11062000,,56.351,59.383
Southern Africa,,2019,,,60.425,67.347
Southern Asia,,2019,,,68.491,71.147
Southern Europe,,2019,,,79.826,84.697
Spain,ESP,2019,46737000,,80.826,86.248
Sri Lanka,LKA,2019,21324000,,73.596,80.261
Sub-Saharan Africa,,2019,,,59.306,62.876
Sudan,SDN,2019,42813000,,63.467,67.187
Suriname,SUR,2019,581000,,68.468,75.063
Swaziland,SWZ,2019,1148000,,56.007,64.845
Sweden,SWE,2019,10036000,,81.029,84.56
Switzerland,CHE,2019,8591000,,81.874,85.596
Syria,SYR,2019,17070000,,67.941,78.103
Taiwan,TWN,2019,23774000,,77.786,83.205
Tajikistan,TJK,2019,9321000,,68.935,73.389
Tanzania,TZA,2019,58005000,,63.643,67.233
Thailand,THA,2019,69626000,,73.46,80.9
Timor,TLS,2019,1293000,,67.492,71.635
Togo,TGO,2019,8082000,,60.152,61.918
Tokelau,TKL,2019,1000,,,
Tonga,TON,2019,104000,,68.967,72.887
Trinidad and Tobago,TTO,2019,1395000,,70.874,76.224
Tunisia,TUN,2019,11695000,,74.688,78.721
Turkey,TUR,2019,83430000,,74.724,80.563
Turkmenistan,TKM,2019,5942000,,64.705,71.717
Turks and Caicos Islands,TCA,2019,38000,,,
Tuvalu,TUV,2019,12000,,,
Uganda,UGA,2019,44270000,,61,65.622
Ukraine,UKR,2019,43994000,,67.097,76.848
United Arab Emirates,ARE,2019,9771000,,77.291,79.314
United Kingdom,GBR,2019,67530000,,79.613,82.999
United States,USA,2019,329064992,,76.341,81.405
United States Virgin Islands,VIR,2019,105000,,77.954,83.105
Upper-middle-income countries,,2019,,,73.094,78.564
Uruguay,URY,2019,3462000,,74.119,81.478
Uzbekistan,UZB,2019,32982000,,69.592,73.829
Vanuatu,VUT,2019,300000,,68.985,72.154
Vatican,VAT,2019,1000,,,
Venezuela,VEN,2019,28516000,,68.327,76.004
Vietnam,VNM,2019,96462000,,71.301,79.523
Wallis and Futuna,WLF,2019,11000,,,
Western Africa,,2019,,,56.793,58.931
Western Asia,,2019,,,72.514,77.484
Western Sahara,ESH,2019,582000,,68.61,72.301
World,OWID_WRL,2019,7713467904,,70.228,75.022
Yemen,YEM,2019,29162000,,64.443,67.826
Zambia,ZMB,2019,17861000,,60.848,66.891
Zimbabwe,ZWE,2019,14645000,,59.798,62.899
